index,codepoint,char,romaji,katakana
0,U+3042,あ,a,ア
1,U+3044,い,i,イ
2,U+3046,う,u,ウ
3,U+3048,え,e,エ
4,U+304A,お,o,オ
5,U+304B,か,ka,カ
6,U+304D,き,ki,キ
7,U+304F,く,ku,ク
8,U+3051,け,ke,ケ
9,U+3053,こ,ko,コ
10,U+3055,さ,sa,サ
11,U+3057,し,shi,シ
12,U+3059,す,su,ス
13,U+305B,せ,se,セ
14,U+305D,そ,so,ソ
15,U+305F,た,ta,タ
16,U+3061,ち,chi,チ
17,U+3064,つ,tsu,ツ
18,U+3066,て,te,テ
19,U+3068,と,to,オ
20,U+306A,な,na,ナ
21,U+306B,に,ni,ニ
22,U+306C,ぬ,nu,ヌ
23,U+306D,ね,ne,ネ
24,U+306E,の,no,ノ
25,U+306F,は,ha,ハ
26,U+3072,ひ,hi,ヒ
27,U+3075,ふ,fu,フ
28,U+3078,へ,he,ヘ
29,U+307B,ほ,ho,ホ
30,U+307E,ま,ma,マ
31,U+307F,み,mi,ミ
32,U+3080,む,mu,ム
33,U+3081,め,me,メ
34,U+3082,も,mo,モ
35,U+3084,や,ya,ヤ
36,U+3086,ゆ,yu,ユ
37,U+3088,よ,yo,ヨ
38,U+3089,ら,ra,ラ
39,U+308A,り,ri,リ
40,U+308B,る,ru,ル
41,U+308C,れ,re,レ
42,U+308D,ろ,ro,ロ
43,U+308F,わ,wa,ワ
44,U+3090,ゐ,wi,ヰ 
45,U+3091,ゑ,we,ヱ
46,U+3092,を,Wo,ヲ
47,U+3093,ん,n,ン
48,U+309D,ゝ,unk,_
